Event,NIFTY,INDIA_VIX,USD_INR,BRENT_CRUDE,GOLD
Global Financial Crisis,-33.4,74.99,16.42,-47.31,-21.57
Eurozone Crisis,-6.45,-15.12,8.47,4.5,-3.37
Global Selloff,-13.37,12.75,5.02,-27.42,8.09
COVID Crash,-29.34,451.93,5.73,-65.55,4.21
