,12M,9M,6M,3M
INDIA_VIX,286.85,330.84,305.86,451.93
USD_INR,8.49,8.76,6.95,5.73
BRENT_CRUDE,-66.75,-65.83,-62.59,-65.55
GOLD,22.46,12.32,8.03,4.21
