Price,INDIA_VIX,USD_INR,VIX_Change,USDINR_Change,Risk_Score
2008-03-31,35.13999938964844,39.88899993896485,,,
2008-04-30,26.15999984741211,40.38600158691406,-25.554922305666462,1.2459616653956784,-24.308960640270783
2008-05-31,26.68000030517578,42.53099822998047,1.9877693455533807,5.311237950729519,7.2990072962829
2008-06-30,30.959999084472656,42.85200119018555,16.041974251651638,0.7547505903089835,16.79672484196062
2008-07-31,39.060001373291016,42.43399810791016,26.162798864166458,-0.97545755312618,25.187341311040278
2008-08-31,31.670000076293945,43.625,-18.91961351043451,2.8067161832385112,-16.112897327196
2008-09-30,37.18999862670898,46.60100173950195,17.429739618305007,6.8217804916950175,24.251520110000023
2008-10-31,68.3499984741211,49.40299987792969,83.78596665242613,6.012742288440087,89.79870894086622
2008-11-30,57.43999862670898,49.869998931884766,-15.961960630537387,0.9452848108596479,-15.01667581967774
2008-12-31,43.09000015258789,48.06499862670898,-24.98258847006395,-3.6194111566778986,-28.601999626741847
2009-01-31,42.09999847412109,48.733001708984375,-2.2975207123719366,1.3897911190289713,-0.9077295933429652
2009-02-28,40.61000061035156,50.650001525878906,-3.539187453143089,3.9336789232523595,0.39449147010927055
2009-03-31,39.47999954223633,50.78400039672852,-2.7825684588322686,0.26455847347044426,-2.5180099853618243
2009-04-30,46.630001068115234,49.1879997253418,18.11043973855604,-3.1427234146948813,14.967716323861158
2009-05-31,40.29999923706055,46.96900177001953,-13.574955363625396,-4.511258777980009,-18.086214141605403
2009-06-30,42.540000915527344,47.80099868774414,5.558316925244133,1.771374494604805,7.329691419848938
2009-07-31,39.209999084472656,47.6259994506836,-7.827930793107285,-0.3660995415675439,-8.194030334674828
2009-08-31,34.5099983215332,48.75,-11.986740302681298,2.3600566125237865,-9.626683690157511
2009-09-30,25.270000457763672,47.810001373291016,-26.77484298225552,-1.928202311197913,-28.703045293453435
2009-10-31,25.38999938964844,46.917999267578125,0.47486715358526776,-1.8657228196843456,-1.3908556660990778
2009-11-30,27.559999465942383,46.45800018310547,8.546672424020052,-0.9804320125613941,7.566240411458658
2009-12-31,23.34000015258789,46.400001525878906,-15.31204424938183,-0.12484105428122172,-15.43688530366305
2010-01-31,26.1299991607666,46.09799957275391,11.953723178829367,-0.6508662568826762,11.302856921946692
2010-02-28,24.020000457763672,45.900001525878906,-8.0750048632647,-0.4295154859431993,-8.5045203492079
2010-03-31,19.8700008392334,44.79999923706055,-17.2772670251508,-2.3965190680836135,-19.673786093234412
2010-04-30,20.350000381469727,44.25,2.4156996575891876,-1.22767688934593,1.1880227682432576
2010-05-31,26.43000030517578,46.358001708984375,29.87714894218072,4.763845670021194,34.640994612201915
2010-06-30,20.06999969482422,46.400001525878906,-24.063566163130478,0.09059885099920173,-23.972967312131274
2010-07-31,18.940000534057617,46.36000061035156,-5.630289875181282,-0.0862088668359906,-5.716498742017273
2010-08-31,18.46999931335449,46.87300109863281,-2.4815269664748896,1.10655841571905,-1.3749685507558396
2010-09-30,22.25,44.68999862670898,20.46562440266271,-4.657270541159164,15.808353861503544
2010-10-31,20.76000022888184,44.41999816894531,-6.696628184800724,-0.6041630477972237,-7.300791232597947
2010-11-30,20.709999084472656,45.79999923706055,-0.2408532941132635,3.1067112224241633,2.8658579283109
2010-12-31,16.559999465942383,44.810001373291016,-20.03862772568512,-2.161567424150612,-22.200195149835732
2011-01-31,23.40999984741211,45.8380012512207,41.364737937084904,2.2941304316549838,43.65886836873989
