,12M,9M,6M,3M
INDIA_VIX,3.01,17.01,38.37,12.75
USD_INR,11.3,8.34,7.19,5.02
BRENT_CRUDE,-42.52,-46.14,-31.11,-27.42
GOLD,1.76,4.36,12.7,8.09
